,Measurement Taken (MHz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45MHz,,55MHz,,70MHz,,100MHz,,140MHz,,200MHz,,300MHz,,1000MHz,,1200MHz,,1400MHz,,1800MHz,,2400MHz,,3000MHz,,3400MHz,,3600MHz,,4000MHz,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Band 1,,Band 2,,Band 3,,Band 4,,Band 5,,Band 6,,Band 7,,Band 8,,Band 9,,Band 10,,Band 11,,Band 12,,Band 13,,Band 14,,Band 15,,Band 16,,,,,,,,,,
Output in dBm,35 – 49.999,,50 – 61.999,,62 – 74.999,,75 – 129.999,,130 – 157.999,,158 – 229.999,,230 – 334.999,,335 – 1144.999,,1145 – 1379.999,,1380 – 1539.999,,1540 – 2199.999,,2200 – 2629.999,,2630 – 3329.999,,3330 -3579.999,,3580 - 3699.999,,3700 - 4400,,,,,,,,,,
,Pwr,Attn,Pwr,Attn,Pwr,Attn,Pwr,Attn,Pwr,Attn,Pwr,Attn,Pwr,Attn,Pwr,Attn,Pwr,Attn,Pwr,Attn,Pwr,Attn,Pwr,Attn,Pwr,Attn,Pwr,Attn,Pwr,Attn,Pwr,Attn,,,,,,,,,
10,3,2,3,2,3,1,3,0,3,1,3,2,3,3,3,4,3,4,3,3,3,3,3,3,3,4,3,2,3,1,3,0,,,,,,,,,
9,3,3,3,3,3,2,3,1,3,2,3,3,3,4,3,5,3,5,3,4,3,4,3,4,3,5,3,3,3,2,3,1,,,,,,,,,
8,3,4,3,4,3,3,3,2,3,3,3,4,3,5,3,6,3,6,3,5,3,5,3,5,3,6,3,4,3,3,3,2,,,,,,,,,
7,3,5,3,5,3,4,3,3,3,4,3,5,3,6,3,7,3,7,3,6,3,6,3,6,3,7,3,5,3,4,3,3,,,,,,,,,
6,3,6,3,6,3,5,3,4,3,5,3,6,3,7,3,8,3,8,3,7,3,7,3,7,3,8,3,6,3,5,3,4,,,,,,,,,
5,3,7,3,7,3,6,3,5,3,6,3,7,3,8,3,9,3,9,3,8,3,8,3,8,3,9,3,7,3,6,3,5,,,,,,,,,
